X,Y,title,numReview,avgReview,useful_count,funny_count,cool_count,index
0.66473,0.85357,complete,3897,3.458814473,9411,5307,6135,52
0.08159,0.07683,toast,2633,3.856817319,5397,2693,3694,53
0.985,1,cant,12931,3.936741165,24564,13428,16778,54
0.98625,0.99977,waited,18112,3.693462898,34688,17416,21941,55
0.97874,1,go,42733,3.746565886,75887,39788,49329,56
0.99939,1,back,31731,3.700828842,56543,28298,36288,57
0.2473,0.57193,idea,2756,3.571117562,6671,4000,4540,58
0.48375,0.99773,people,17148,3.616515045,35702,20529,23586,59
0.98705,1,giving,13863,3.527735699,27465,14897,17306,60
0.95717,0.99951,bad,10741,3.261893678,19823,10856,11907,61
0.9993,0.99975,reviews,12555,3.595539626,27265,14492,17842,62
0.23053,0.41488,goes,2084,3.730326296,4614,2572,3095,63
0.09154,0.55615,showed,4542,3.568472039,10336,5961,6702,64
0.64599,0.87265,please,3870,3.748837209,8589,5107,5703,65
0.77627,0.94258,everyone,6629,3.879016443,13418,7467,9103,66
0.94807,0.99994,probably,8418,3.617367546,16610,9091,10815,67
0.98461,0.99998,something,12273,3.621526929,26127,14430,17485,68
0.92158,0.99985,many,11239,3.746151793,22776,11698,15064,69
0.38903,0.20907,case,2160,3.594444444,5357,3139,3660,70
0.99931,1,friend,29029,3.922904682,51143,25342,33968,71
0.4091,0.71937,pm,4202,3.637791528,8739,4176,5439,72
0.59258,0.77186,past,3480,3.627011494,7711,4026,5161,73
0.10122,0.68317,crowd,6098,3.747622171,10806,6046,7383,74
0.96489,0.99725,thoughts,8231,3.502490584,17667,9792,11625,75
0.99271,1,even,23476,3.689555291,48448,26128,32039,76
0.99695,1,would,28426,3.564131429,53783,28210,34084,77
0.22405,0.12201,forever,1135,3.201762115,2250,1126,1364,78
0.75751,0.95855,seating,11732,3.672860552,22793,10927,14560,79
0.98872,0.99998,said,10166,3.372024395,22477,12871,14098,80
0.99973,0.99999,well,21379,3.847373591,41867,21873,28264,81
0.24013,0.46251,girl,3653,3.562003832,8581,5879,5992,82
0.99315,1,come,22194,3.770163107,42594,22107,27655,83
0.59471,0.94868,someone,4666,3.383840549,10445,6365,6662,84
0.80831,0.9987,else,6438,3.537899969,12644,6865,8042,85
0.9619,0.35021,waiter,4949,3.463932108,8702,4119,5005,86
0.99817,0.99999,got,18105,3.585528859,35485,19225,23248,87
0.57627,0.77989,drink,20050,3.686034913,36726,19515,24179,88
0.84263,0.55868,pleasantly,3239,3.901204075,6067,2828,4072,89
0.24731,0.20859,host,1114,3.682226212,2560,1282,1753,90
0.99975,0.97728,us,17364,3.552868003,34284,16840,21120,91
0.9687,0.87234,server,11017,3.529363711,20938,10089,12818,92
0.98583,0.98304,price,18443,3.732093477,29641,14005,18517,93
0.99987,1,good,55949,3.762372875,89130,44142,57484,94
0.99553,0.97328,decided,8053,3.567987086,18058,9603,11860,95
0.97845,1,wanting,20446,3.602660667,42386,23561,27457,96
0.9933,0.58283,share,5257,4.00741868,11534,5839,8064,97
0.41662,0.25848,bake,2466,3.99756691,5081,2505,3496,98
0.39228,0.01235,spaghetti,549,3.752276867,920,462,599,99
0.9271,0.86511,small,10919,3.731019324,20604,9739,13414,100
0.22901,0.11694,heres,827,3.556227328,2396,1618,1580,101
0.45908,0.23437,beef,6023,3.846588079,11481,5712,7744,102
0.70262,0.00932,pizza,9194,3.966608658,14260,6841,9403,103
0.99984,0.99991,tried,31606,3.802252737,56996,27863,36910,104
0.73899,0.94401,huge,8430,3.923013049,15867,7872,10731,105
0.9203,1,one,36504,3.765285996,71279,38139,47264,106
0.9178,0.96192,person,6912,3.716579861,14408,7661,9315,107
0.88451,0.99333,awesome,10632,4.264014296,17397,8648,11771,108
0.99507,0.99961,better,15199,3.483584446,28105,14777,17771,109
0.90173,0.49049,sauce,13039,3.796763555,24699,11828,16194,110
0.86998,0.99379,thats,9140,3.631400438,20646,12735,14273,111
0.2731,0.03681,box,1781,3.539584503,3754,2238,2543,112
0.62937,0.99181,part,5929,3.654579187,12723,6980,8517,113
0.92208,0.99999,take,15208,3.695094687,32689,18187,21635,114
0.76099,0.86647,home,8478,3.838641189,17684,9795,12337,115
0.16065,0.63817,door,4956,3.689870864,11164,6479,7501,116
0.99945,1,great,46531,4.062925791,67359,29780,43443,117
0.99035,0.99999,thing,18551,3.703520026,38562,21457,25766,118
0.54443,0.92574,seriously,3916,3.68947906,9696,6271,6648,119
0.21606,0.38182,issue,2154,3.395078923,4375,2361,2559,120
0.99719,0.99998,loved,30743,4.159776209,52958,26914,36867,121
0.82192,0,gyro,709,4.004231312,1108,506,748,122
0.94625,0.5585,plates,7792,3.663501027,15589,7617,9924,123
0.57022,0.1851,rice,5967,3.746271158,11220,5346,7305,124
0.99915,1,also,24615,3.91456429,46554,22490,31080,125
0.00126,0.00092,dig,725,3.83862069,1653,978,1222,126
0.05049,0.00024,candied,1050,4.034285714,2586,1511,1851,127
0.50543,0.41558,selection,9005,3.988672959,15320,7305,10334,128
0.01348,0.0027,dog,2449,3.981625153,5046,2896,3449,129
0.12407,0.51594,parking,7079,3.844328295,14153,7870,9703,130
0.05306,0.22498,convenient,1188,3.720538721,2356,1244,1634,131
0.05853,0.11454,surroundings,1128,3.855496454,2577,1440,1758,132
0.7228,0.9988,lot,13933,3.754898443,25711,13277,16917,133
0.60009,0.12123,desert,2572,4.063374806,4763,2245,3192,134
0.00099,0.00056,field,541,4,1178,682,860,135
0.9898,0.86284,wonder,7650,4.113856209,14621,7477,10112,136
0.47989,0.40738,job,2521,3.735422451,5101,2737,3251,137
0.50734,0.93659,keep,5642,3.80113435,11763,6266,7770,138
0.23308,0.31423,clean,5694,3.852651914,10876,5661,7210,139
0.00939,0.0161,shade,543,4.005524862,1239,651,885,140
0.70983,0.94862,find,11863,3.815898171,23898,12914,16257,141
0.13588,0.0111,canned,476,3.134453782,1194,799,758,142
0.56464,0.52349,location,9997,3.825347604,17741,8353,11511,143
0.62018,0.9488,area,11528,3.834403192,20360,9280,13388,144
0.8282,0.99762,let,7145,3.62673198,16853,10276,11365,145
0.23788,0.70141,run,4320,3.659027778,9657,5598,6396,146
0.01016,0.22809,playing,4050,3.839012346,8549,5301,6285,147
0.51463,0.28152,general,2229,3.65679677,4646,2546,3088,148
0.75879,0.4121,manager,4590,3.167538126,9694,4878,5350,149
0.19662,0.10135,details,996,3.954819277,2471,1160,1663,150
0.68356,0.04903,rare,2258,3.855181577,4455,2297,2923,151
0.26269,0.22386,speak,1486,3.541722746,3368,1981,2182,152
0.28099,0.30469,treats,3151,3.917169153,7304,3800,4877,153
0.10552,0.68507,guy,5611,3.572090536,12607,8338,8483,154
0.25794,0.00329,respect,667,3.589205397,1659,1047,1158,155
0.19562,0.31864,stated,1804,3.641906874,4033,2205,2542,156
0.91928,0.99889,id,7130,3.547966339,14993,8358,10024,157
0.98852,0.93005,surprised,5899,3.857942024,11700,5689,7859,158
0.44451,0.92137,walked,9857,3.611747996,21815,12520,14717,159
0.64799,0.89544,totally,4903,3.70528248,10833,6299,7241,160
0.58923,0.44466,satisfied,2242,3.997769848,4487,2163,2962,161
0.88276,0.97118,always,17753,4.100490058,28015,13690,18651,162
0.99432,1,say,17290,3.642972817,35994,20617,23917,163
0.31311,0.07185,mistake,979,3.101123596,2042,1015,1138,164
0.9048,0.94315,staff,14250,3.919789474,22692,10444,14084,165
0.53758,0.60064,customers,5282,3.367663764,10986,5398,6150,166
0.33976,0.47866,life,2595,3.925240848,6423,4290,4726,167
0.75752,0.99865,put,6951,3.556466695,15524,9139,10161,168
0.33027,0.15632,beautiful,4323,4.116354384,9332,4936,6818,169
0.96164,0.99928,full,7845,3.840535373,16754,9276,11604,170
0.04854,0.08018,window,1498,3.734312417,3525,2071,2507,171
0.15563,0.3703,wall,3621,3.867716101,8120,4578,5721,172
0.8362,0.99957,feel,12542,3.803380641,25685,14063,17568,173
0.68253,0.88381,inside,7253,3.786157452,14857,8006,10275,174
1,0.74314,restaurant,23785,3.745890267,41464,18999,25556,175
0.12993,0.34754,middle,2392,3.661789298,5551,3388,3882,176
0.07878,0.00031,farm,908,4.074889868,1755,799,1193,177
0.91486,0.99982,seemed,12026,3.441626476,22962,11711,14641,178
0.62886,0.75604,fair,3607,3.580815082,6783,3490,4516,179
0.00012,0.0826,secure,663,3.20361991,1542,975,1063,180
0.7973,0.24136,reservations,3424,3.765478972,7127,3125,4244,181
0.93539,0.999,couple,7029,3.67847489,14749,7779,9880,182
0.52599,0.99947,day,13720,3.841253644,28771,15742,19814,183
0.20002,0.09438,sample,2475,4.057777778,5823,3001,4270,184
0.32584,0.38284,sandwiches,9436,3.901441289,16802,8388,11406,185
0.74096,0.30083,kitchen,3886,3.536026763,8897,4514,5608,186
0.85978,0.94586,weeks,7087,3.940877663,14114,6896,9477,187
0.96066,0.89112,impress,6068,3.659690178,11478,5513,7537,188
0.99869,0.99999,enough,9997,3.737721316,21107,11433,14210,189
0.9996,0.99585,eating,19361,3.756882392,36737,19981,24371,190
0.33833,0.31952,crisp,1758,3.923777019,4371,2312,3121,191
0.47252,0.31206,veggie,4338,3.860995851,8554,4232,5772,192
0.99915,0.96698,disappoint,8164,3.392454679,13246,5696,7421,193
0.94774,0.41595,salad,14254,3.888592676,25584,11840,16679,194
0.23114,0.15322,orange,1986,3.885196375,4390,2238,3016,195
0.65009,0.31549,slice,3686,3.736299512,8832,4754,6170,196
0.99746,0.97857,started,9721,3.74004732,21176,10942,13915,197
0.93597,0.99997,know,16788,3.670717179,39137,24204,27186,198
0.99315,1,much,18783,3.610765054,37655,20326,24994,199
0.50267,0.07082,raw,955,3.417801047,2041,1022,1251,200
0.32492,0.41607,pesto,1332,4.134384384,2537,1130,1715,201
0.53904,0.07653,lamb,1365,4.045421245,2604,1143,1693,202
0.66034,0.24417,pork,5743,3.935225492,10185,4712,6601,203
0.99997,0.99725,service,34651,3.728492684,52834,23819,31727,204
0.0002,0.12151,trail,410,4.246341463,1055,629,791,205
0.75957,0.99706,long,9071,3.652629258,19196,10379,12670,206
0.99575,1,time,38996,3.779233768,70662,36519,46498,207
0.65835,0.27939,received,2243,3.218457423,4950,2375,2821,208
0.96992,0.62648,finished,4069,3.701400836,8992,4631,5885,209
0.24655,0.30025,bother,1251,3.085531575,2712,1528,1636,210
0.37023,0.24836,explain,1801,3.464186563,4197,2097,2559,211
0.03736,0.15262,situation,955,3.308900524,2415,1295,1493,212
0.4028,0.17295,apologized,1211,2.677952106,2821,1411,1354,213
0.95226,0.99732,almost,6338,3.667245188,13284,7200,8795,214
0.95854,0.97342,minutes,9191,3.22968121,19664,10407,11786,215
0.69345,0.76093,later,3746,3.334490123,8731,4805,5463,216
0.38428,0.37619,apparently,1772,3.229683973,4376,2787,2773,217
0.58886,0.01407,chef,3382,3.939089296,7268,3333,4745,218
0.99804,1,really,31335,3.730429232,58171,30349,38840,219
0.50552,0.67768,problem,3387,3.385296723,7017,3676,4141,220
0.09438,0.01866,trouble,600,3.5,1327,707,840,221
0.82161,0.51997,glasses,5333,3.726982936,12072,6219,8134,222
0.70215,0.03133,wines,9244,4.044893985,17787,8246,11909,223
0.41283,0.26158,forgot,1427,3.367904695,2939,1578,1869,224
0.59148,0.94067,bring,6484,3.797809994,13412,7283,8940,225
0.45771,0.18134,requested,1716,3.535547786,3856,1804,2450,226
0.95627,0.96112,offered,7612,3.706910142,16322,7856,10700,227
0.21376,0.25793,lady,2245,3.605790646,5274,3642,3764,228
0.95636,0.99999,way,15609,3.610417067,33997,19389,22935,229
0.99738,0.99997,asked,12365,3.34346947,26776,14220,16345,230
0.80691,0.51694,warm,4111,3.897835077,9186,4723,6522,231
0.43237,0.10564,apples,1668,3.990407674,3732,1938,2630,232
0.15508,0.14783,honey,1341,3.904548844,2954,1584,2083,233
0.56683,0.09005,butter,3108,3.942084942,7226,3861,4986,234
0.47156,0.38225,solid,2072,3.737451737,4187,2284,2957,235
0.99571,0.99982,quite,7988,3.730595894,15998,8237,10689,236
0.51918,0.8342,live,8914,3.975095356,16859,8992,11727,237
0.59408,0.32979,meat,8181,3.772521697,15414,7790,10064,238
0.3567,0.08953,tough,1093,3.242451967,2240,1177,1398,239
0.94088,0.99322,maybe,7533,3.320456657,15889,9306,10180,240
0.24692,0.20471,vegetarian,2733,3.970362239,4849,2289,3152,241
0.96303,0.19398,dessert,7344,4.031045752,14125,6393,9376,242
0.28197,0.16444,pear,717,4.115760112,1556,796,1076,243
0.76724,0.03662,cake,3596,4.013070078,7463,3859,5099,244
0.81871,0.92914,yet,5107,3.885842961,11358,6027,7856,245
0.99221,0.99966,another,10062,3.420989863,22122,11617,13974,246
0.33675,0.09739,tad,846,3.826241135,1861,990,1382,247
0.99974,1,definitely,14943,3.991367195,23849,10503,15558,248
0.63962,0.5755,five,2914,3.837680165,6520,3812,4502,249
0.9824,0.99989,star,13639,3.553852922,27615,15258,18196,250
0.98094,0.92945,returning,5421,3.403062166,11031,5260,6665,251
0.99997,0.96572,tasted,16624,3.601600096,31705,16331,20422,252
0.72014,0.56014,bill,3107,3.134213067,6517,3263,3658,253
0.9888,0.99527,two,13810,3.627878349,30445,16680,20105,254
0.70361,0.74975,included,5040,3.870238095,11705,5779,8013,255
0.57024,0.55155,tip,2976,3.458669355,6640,3458,3998,256
0.39887,0.22566,drop,1874,3.42529349,4492,2603,2925,257
0.15677,0.54408,drive,4119,3.853848021,8330,4613,5778,258
0.92911,0.7504,ate,4491,3.696726787,8660,4721,5733,259
0.95997,0.99887,next,12093,3.775159183,24845,13548,16790,260
0.35275,0.3515,cute,3284,3.830694275,6509,3649,4692,261
0.99858,0.99994,little,22267,3.822158351,43148,22973,29659,262
0.47656,0.23735,green,6070,3.916968699,13076,6522,9021,263
0.08521,0.26359,buildings,2514,3.802704853,5528,2775,3874,264
0.69934,0.96926,may,5322,3.698233747,12405,7131,8733,265
0.64398,0.43684,gone,2574,3.477078477,5191,2790,3276,266
0.01421,0.19547,rd,760,3.640789474,1683,912,1157,267
0.0686,0.26694,avoid,1429,3.33030091,3089,1857,1910,268
0.40155,0.9293,turn,3979,3.466197537,9292,5697,6268,269
0.29589,0.00553,onto,837,3.671445639,1999,1272,1409,270
0.32386,0.04591,th,2294,3.860941587,6022,3332,4323,271
0.26246,0.58292,street,3936,3.774136179,8143,4429,5491,272
0.15189,0.00646,grand,652,3.671779141,1668,913,1155,273
0.51999,0.89519,open,8921,3.786683107,19911,10376,13462,274
0.30703,0.3077,sign,2624,3.522865854,5843,3325,3714,275
0.20752,0.04698,caught,607,3.571663921,1423,876,1022,276
0.42961,0.49978,eye,2400,3.61875,6210,4187,4390,277
0.70963,0.41625,yelp,4359,3.805689378,10595,5927,7547,278
0.74975,0.86782,new,10776,3.893281366,22372,11590,15172,279
0.09339,0.53243,easy,3162,3.924731183,6259,3410,4487,280
0.77823,0.52594,decor,6973,3.805535637,13113,6427,8852,281
0.27008,0.2013,smell,2082,3.597022094,4376,2701,2940,282
0.99982,0.63637,dinner,12946,3.859647768,23606,10538,15114,283
0.71664,0.98063,see,13284,3.652890696,30118,17288,20677,284
0.47897,0.24248,varieties,3500,4.018571429,6398,2923,4441,285
0.46588,0.32788,pepper,3404,3.857520564,7499,3819,5235,286
0.5134,0.10175,wrapped,2571,3.908206923,5337,2719,3744,287
0.4666,0.1292,banana,1399,4.120800572,2829,1315,1886,288
0.74294,0.98611,leave,5333,3.516594787,11964,6909,7581,289
0.26062,0.09767,difficult,1257,3.633253779,2444,1184,1497,290
0.44253,0.33175,choose,2904,3.960055096,6193,3068,4294,291
0.9146,0.95094,far,6255,3.846522782,12170,6275,8051,292
0.19788,0.03984,la,2098,3.865109628,4733,2538,3158,293
0.90649,0.27974,shrimp,4616,3.849870017,8402,3904,5470,294
0.06517,0.28455,tacos,5256,3.808409437,8600,4109,5429,295
0.97326,0.64276,flavor,14366,3.816302381,26689,12522,17450,296
0.85696,0.67386,bite,4586,3.766245094,10985,5925,7553,297
0.66391,0.14269,delightful,1854,4.251348436,4904,2913,3800,298
0.09941,0.04312,salsa,3981,3.725697061,7140,3435,4657,299
0.54363,0.54006,bar,16965,3.770350722,32030,17009,21424,300
0.10894,0.00002,stock,695,3.932374101,1537,942,1124,301
0.59528,0.61675,excites,3101,3.408577878,6847,3482,4318,302
0.28267,0.09562,strawberry,1518,4.054018445,3393,1813,2430,303
0.41345,0.53792,hot,9038,3.845430405,17646,9560,11993,304
0.67928,0.917,fact,4630,3.636069114,11041,6473,7588,305
0.83472,0.98076,big,10691,3.758301375,21319,11601,14698,306
0.0692,0.14244,throw,1140,3.552631579,2876,2083,2079,307
0.01552,0.04794,pecan,740,4.185135135,1692,853,1210,308
0.32019,0.05867,fruit,2141,3.964035497,4579,2244,3166,309
0.7563,0.82453,yummy,4767,4.165303126,7559,3561,5283,310
0.11389,0.01095,wins,767,3.980443286,1660,1031,1224,311
0.00709,0.09348,art,1793,4.136084774,3891,2064,2909,312
0.07098,0.45725,folks,1609,3.735239279,3895,2390,2812,313
0.16831,0.77488,theres,4542,3.807353589,10239,6088,7097,314
0.06202,0.00519,paint,666,3.735735736,1732,1178,1358,315
0.00206,0.37784,hanging,2855,3.851838879,5784,3506,4264,316
0.04802,0.05074,artist,522,4.212643678,1207,606,902,317
0.05769,0.15828,luckily,891,3.641975309,2176,1161,1484,318
0.00418,0.08492,traveled,1279,3.82095387,2557,1309,1730,319
0.96136,0.99999,making,22839,3.817986777,46826,25949,31653,320
0,0.0025,connected,547,3.513711152,1056,633,723,321
0.08011,0,flights,929,3.400430571,1886,1082,1226,322
0.90973,0.73855,thank,4557,3.912003511,11189,6778,8009,323
0.01696,0.11632,employees,1767,3.422750424,3526,2011,2152,324
0.89496,0.99858,kind,8304,3.658839114,17155,9643,11658,325
0.69206,0.84561,hoping,4838,3.373708144,11215,6016,7240,326
0.46386,0.64716,phoenix,11193,4.056821228,20973,10349,14555,327
0.41549,0.28708,longer,1651,3.446396124,3719,1908,2351,328
0.80498,0.54934,happy,12823,3.925290494,22214,10816,14902,329
0.66921,0.6695,hour,14159,3.718906702,26082,13143,16889,330
0.75646,0.0333,sake,916,3.709606987,1981,1283,1412,331
0.90192,0.92681,atmosphere,12588,3.979980934,18406,7519,11680,332
0.67863,0.64417,incredibly,3211,4.201806291,6217,3065,4281,333
0.97255,0.99802,nice,22857,3.807761299,38690,18416,25408,334
0.98642,0.99999,right,13808,3.808009849,29640,16545,20251,335
0.80035,0.99666,needed,11445,3.65163827,24496,14139,16255,336
0.68474,0.95491,spot,8101,3.97531169,15726,7964,11056,337
0.88102,0.99662,especially,5984,3.822359626,11309,5430,7445,338
0.40935,0.5617,planning,2744,3.849854227,6001,3091,4135,339
0.77367,0.92274,wish,5142,3.871450797,9855,4932,6669,340
0.46768,0.51703,unique,3668,4.12568157,6545,2807,4496,341
0.7782,0.92066,care,4961,3.641402943,10567,5940,6909,342
0.06152,0.05216,craft,757,4.184940555,1565,718,1082,343
0.05486,0.22237,featuring,1319,3.984836998,2958,1503,2039,344
0.18516,0.00005,belly,912,4.137061404,1886,1030,1318,345
0.16382,0.08083,bun,1896,3.698839662,3905,1998,2574,346
0.25538,0.37841,man,2648,3.807779456,6792,4830,4944,347
0.16388,0.01263,owns,1152,4.044270833,2261,1119,1507,348
0.04286,0.00048,store,3630,3.772176309,7294,4494,5199,349
0.8914,0.58294,sweet,10072,3.957704527,21294,11043,15084,350
0.45302,0.44014,perhaps,1794,3.367892977,4696,2811,3353,351
0.30294,0.09449,cookie,1965,4.1043257,3900,2121,2724,352
0.44986,0.33267,iced,6378,3.896989652,13127,6813,9111,353
0.10289,0.2156,giant,1380,3.864492754,3101,1878,2202,354
0.60351,0.31938,creamed,5806,3.980020668,11943,6016,8301,355
0.72973,0.97219,super,6538,3.998929336,11382,5821,7586,356
0.1657,0.24606,cheap,4046,3.75111221,7218,4117,4870,357
0.43156,0.53515,basically,2717,3.475892529,5683,3048,3498,358
0.21361,0.05653,oven,1013,3.957551826,2298,1048,1597,359
0.83716,0.76845,choice,5847,3.846416966,11224,5357,7500,360
0.53257,0.67873,along,3119,3.869509458,7348,4212,5331,361
0.60144,0.00189,roll,6949,3.727586703,12431,6785,8217,362
0.62948,0.99965,around,12669,3.70108138,26217,14294,17566,363
0.00231,0.00056,cash,1302,3.561443932,2946,1558,1784,364
0.20489,0.12092,cards,1923,3.410816433,4505,2520,2766,365
0.0097,0.2376,credit,1001,3.13986014,2384,1266,1326,366
0.00051,0.03887,accept,876,3.303652968,2103,1160,1265,367
0.2505,0.34566,limited,1983,3.650025214,3721,1936,2416,368
0.91682,0.39953,chicken,15484,3.867799018,26893,13266,17770,369
0.99024,0.99993,last,11464,3.696702722,23769,12567,15863,370
0.72546,0.25804,tomatoes,4515,3.911627907,10187,4960,7033,371
0.53159,0.02157,basil,1618,4.067985167,3379,1676,2393,372
0.48172,0.1917,soup,5396,3.840252039,9765,4558,6406,373
0.92853,0.98947,every,11449,4.056773517,23181,12697,16101,374
0.55425,0.47717,rate,3205,3.432137285,5827,2960,3496,375
0.14295,0.00016,deli,817,3.88249694,1611,914,1165,376
0.03739,0.04398,shopping,5223,3.963048057,10788,6157,7656,377
0.1365,0.51459,space,3244,3.769112207,7718,4238,5553,378
0.27116,0.04778,multiple,934,3.758029979,1891,973,1248,379
0.00942,0.01716,book,2293,3.856955953,4944,2571,3462,380
0.49191,0.93753,worked,10477,3.747351341,22114,11980,14985,381
0.35456,0.41989,available,2326,3.762682717,4910,2344,3200,382
0.98612,1,though,11732,3.6496761,21986,11740,14633,383
0.51198,0.41782,style,4274,3.886055218,8368,4404,5733,384
0.58679,0.21969,chose,1598,3.762828536,4374,2214,3116,385
0.12345,0.09494,design,1619,3.776405188,3800,2130,2708,386
0.20489,0.11974,hes,873,3.870561283,2224,1536,1644,387
0.23313,0.51982,conversations,2091,3.694404591,4423,2418,2971,388
0.46159,0.77534,read,4463,3.613936814,10438,5857,7019,389
0.34973,0.3628,continue,1714,3.563593932,3966,2236,2557,390
0.87449,0.74903,done,4496,3.630782918,9698,4931,6124,391
0.32553,0.00175,professionally,1073,3.934762349,2330,1203,1484,392
0.55248,0.0356,informed,1397,3.378668576,3192,1643,1840,393
0.37035,0.27816,combination,2465,4.052332657,5401,2828,3879,394
0.57694,0.82599,town,7404,3.985143166,13308,6485,9029,395
0.91091,0.96426,found,7334,3.800518135,15049,7912,10382,396
0.7152,0.18084,outstanding,2085,4.274820144,3282,1307,2132,397
0.99854,0.99996,went,17754,3.612256393,31142,15171,19545,398
0.71987,0.79514,night,16602,3.790446934,32010,16471,21475,399
0.51828,0.54938,exactly,2547,3.749116608,5936,3339,4070,400
0.45453,0.85493,happened,3441,3.401046208,8432,5110,5618,401
0.16738,0.5169,bartenders,3665,3.616371078,7225,4229,4874,402
0.70582,0.8336,helps,7216,3.862804878,14020,7272,9348,403
0.21037,0.03412,introduced,738,4.12601626,1640,939,1170,404
0.66861,0.9288,whole,5517,3.689505166,12494,7496,8661,405
0.05898,0.3971,bunch,1476,3.64295393,3570,2248,2531,406
0.85776,0.86947,large,7350,3.827891156,14253,6860,9416,407
0.94501,0.80793,side,12759,3.785171252,25898,13044,17141,408
0.3244,0.15014,lettuce,1936,3.545971074,4278,2225,2806,409
0.34245,0.28513,bacon,3920,3.918367347,8266,4242,5680,410
0.99047,0.83588,top,11751,3.911667092,24245,12650,16508,411
0.54957,0.67726,cold,3711,3.324710321,7219,3769,4463,412
0.12494,0.18101,tap,1797,3.860879243,3494,1859,2398,413
0.3482,0.32764,following,1747,3.802518603,4488,2839,3206,414
0.21976,0.13598,vodka,828,3.842995169,2001,1232,1497,415
0.04113,0.00684,game,3252,3.765375154,5431,3042,3725,416
0.99898,1,first,17485,3.733257077,34855,18113,23169,417
0.56416,0.42575,fabulous,2151,4.277080428,4052,2145,2981,418
0.6813,0.72105,mixed,4866,3.788532676,9742,4860,6779,419
0.12486,0.00399,bands,1393,3.75735822,2592,1587,1868,420
0.14975,0.09691,catch,1160,3.756034483,2384,1381,1671,421
0.00005,0.00268,performance,467,3.753747323,1183,721,903,422
0.59043,0.7971,notices,3427,3.443536621,8393,4561,5521,423
0.99632,0.99997,since,11721,3.720928248,24104,12299,15966,424
0.52453,0.63916,typical,3113,3.771281722,5778,2803,3807,425
0.20418,0.04581,spoke,382,3.212041885,863,404,448,426
0.35634,0.38482,welcoming,2134,4.065604499,4617,2215,3171,427
