X,Y,numReview,avgReview,num,age,sex,job,zip,lat,lon,
0.0031072,0.4622,20,4.05,33,38,F,administrator,42141,36.943,-85.941,
0.003238,0.48411,25,3,34,20,F,homemaker,42459,37.629,-87.989,
0.0056958,0.47254,20,3.8,35,19,F,student,93117,34.504,-120.039,
0.17175,0.60219,57,3.6491,36,23,M,student,55105,44.935,-93.161,
0.23941,0.62367,121,3.719,37,28,F,other,54467,44.414,-89.566,
0.0068864,0.4791,22,3.7727,38,41,M,entertainment,1040,42.198,-72.642,
0.0064759,0.472,35,2.8857,39,38,M,scientist,27514,36.005,-79.054,
0.1871,0.40597,52,3.7692,40,33,M,engineer,80525,40.532,-105.207,
0.50249,0.63746,183,3.7268,41,30,M,administrator,17870,40.826,-76.858,
0.49176,0.65138,221,3.7104,42,29,F,librarian,20854,39.03,-77.235,
0.43157,0.54238,151,3.649,43,26,M,technician,46260,39.894,-86.138,
0.08521,0.57248,48,3.6042,44,29,M,programmer,50233,41.621,-94.212,
0.031014,0.49859,27,4.1111,45,27,F,marketing,46538,41.343,-85.824,
0.0045534,0.45519,25,3.64,46,53,M,marketing,7102,40.736,-74.174,
0.19183,0.35153,66,3.7879,47,45,M,administrator,12550,41.385,-74.185,
0.27692,0.50326,215,2.6837,48,23,F,student,76111,32.795,-97.297,
0.023496,0.47291,24,3.5417,49,21,M,writer,52245,41.669,-91.518,
0.091153,0.45423,23,3.5652,50,28,M,educator,16509,42.049,-80.028,
0.12528,0.52388,56,4.2679,51,18,F,student,55105,44.935,-93.161,
0.086114,0.52793,28,3.8214,52,26,M,programmer,55414,44.975,-93.234,
0.088075,0.62864,65,3.6923,53,22,M,executive,66315,300,300,
0.070994,0.51264,21,3.2857,54,37,M,programmer,1331,42.547,-72.184,
0.48221,0.72808,187,3.6417,55,25,M,librarian,46260,39.894,-86.138,
0.19022,0.67401,106,3.5,56,16,M,none,84010,40.874,-111.871,
0.37694,0.39732,154,3.8377,57,27,M,programmer,52246,41.601,-91.589,
0.91368,0.32419,382,3.9346,58,49,M,educator,8403,39.324,-74.513,
0.56451,0.2165,208,4.0865,59,50,M,healthcare,6472,41.38,-72.773,
0.0045954,0.48219,21,2.9524,60,36,M,engineer,30040,34.232,-84.158,
0.50018,0.51834,232,3.3017,61,27,F,administrator,97214,45.514,-122.642,
0.084106,0.5334,93,3.1183,62,31,M,marketing,75240,32.91,-96.789,
0.54646,0.49443,200,3.585,63,32,M,educator,43202,39.969,-83.011,
0.25181,0.4572,80,3.9375,64,51,F,educator,48118,42.314,-84.014,
0.066012,0.57438,38,3.4737,65,23,M,student,80521,40.592,-105.298,
0.060046,0.54903,30,3.7667,66,17,M,student,60402,41.812,-87.687,
0.058245,0.51814,34,3.0294,67,19,M,student,22904,38.04,-78.485,
0.14353,0.54661,65,3.8462,68,24,M,engineer,55337,44.772,-93.226,
0.34246,0.55452,131,3.4656,69,27,M,engineer,60067,42.102,-88.056,
0.11277,0.4156,38,3.7895,70,39,M,scientist,98034,47.725,-122.206,
0.40631,0.43145,137,3.8175,71,48,F,administrator,73034,35.631,-97.463,
0.18581,0.37008,66,3.7273,72,24,M,student,41850,300,300,300
0.033684,0.50533,39,3.641,73,39,M,scientist,T8H1N,300,300,
0.12053,0.59159,79,3.2785,74,24,M,entertainment,8816,40.428,-74.422,
0.16407,0.40907,82,3.561,75,20,M,student,2215,42.345,-71.108,
0.24663,0.43017,72,3.6111,76,30,M,technician,29379,34.7,-81.648,
0.020026,0.49395,21,3.381,77,26,M,administrator,61801,40.134,-88.182,
0.057345,0.45676,55,4,78,39,F,administrator,3755,43.861,-72.12,
0.085654,0.41877,29,3.7586,79,34,F,administrator,52241,41.7,-91.633,
0.10731,0.55546,58,3.2931,80,21,M,student,21218,39.328,-76.599,
0.35266,0.40141,168,3.0714,81,50,M,programmer,22902,38.027,-78.48,
0.30575,0.69681,155,3.4194,82,40,M,other,44133,41.315,-81.745,
0.14657,0.57314,68,3.8529,83,32,M,executive,55369,45.128,-93.459,
0.6132,0.17579,288,3.5382,84,51,M,educator,20003,38.86,-76.989,
0.0046941,0.46585,23,3.5217,85,26,M,administrator,46005,300,300,
0.51413,0.60473,211,3.7915,86,47,M,administrator,89503,39.547,-119.902,
0.00394,0.4582,21,3.9524,87,49,F,librarian,11701,40.686,-73.412,
0.16333,0.51027,76,4.0395,88,43,F,administrator,68106,41.239,-95.999,
0.62544,0.024851,300,4.2233,89,60,M,educator,78155,29.579,-97.952,
0.28529,0.38967,98,3.8878,90,55,M,marketing,1913,42.854,-70.948,
0.69825,0.7459,388,3.2448,91,32,M,entertainment,80525,40.532,-105.207,
0.035965,0.49642,20,3.35,92,48,M,executive,23112,37.454,-77.663,
0.83396,0.57107,400,3.6575,93,26,M,student,71457,31.71,-93.109,
0.63608,0.51091,278,3.4173,94,31,M,administrator,10707,40.96,-73.816,
0.23451,0.40079,56,4.2679,95,25,F,artist,75206,32.834,-96.772,
0.25474,0.394,63,4.1587,96,43,M,artist,98006,47.552,-122.145,
0.069497,0.41135,27,3.5926,97,49,F,executive,90291,33.787,-118.299,
0.25507,0.70922,136,3.5515,98,20,M,student,63129,38.457,-90.328,
0.0061349,0.48953,59,3.0678,99,36,M,executive,90254,33.787,-118.299,
0.081228,0.62441,67,2.8955,100,15,M,student,5146,43.18,-72.606,
0.33162,0.61249,216,2.6157,101,38,M,programmer,30220,33.276,-84.741,
0.084112,0.51904,29,3.6207,102,26,M,student,55108,44.981,-93.177,
0.084928,0.57985,111,2.6667,103,27,M,student,55108,44.981,-93.177,
0.0071984,0.47172,23,3.3913,104,24,M,engineer,94043,37.189,-121.705,
0.16847,0.42789,64,3.7656,105,61,M,retired,55125,44.92,-92.944,
0.0064135,0.46439,22,3,106,39,M,scientist,60466,41.812,-87.687,
0.061971,0.49678,33,3.5758,107,44,M,educator,63130,38.667,-90.323,
0.53633,0.81927,234,3.4402,108,29,M,other,55423,44.876,-93.255,
0.19984,0.61895,133,3.0451,109,19,M,student,77840,30.582,-96.289,
0.004946,0.45825,24,3.5417,110,57,M,engineer,90630,33.64,-117.769,
0.0030414,0.49093,46,3.6957,111,30,M,salesman,60613,41.812,-87.687,
0.04004,0.52437,51,3.7255,112,47,M,executive,95032,37.071,-121.662,
0.16285,0.37785,48,3.6042,113,27,M,programmer,75013,33.119,-96.677,
0.25791,0.45267,92,3.9348,114,31,M,engineer,17110,40.302,-76.866,
0.12899,0.45548,143,3.007,115,40,M,healthcare,97232,45.524,-122.643,
0.21082,0.66092,86,3.9186,116,20,M,student,16125,41.327,-80.288,
0.22827,0.41643,71,4.662,117,21,M,administrator,90210,33.787,-118.299,
0.3302,0.66842,181,3.9503,118,32,M,programmer,67401,38.824,-97.642,
0.052495,0.52873,26,3.5769,119,47,F,other,6260,41.863,-71.888,
0.16455,0.46253,74,3.6081,120,54,M,librarian,99603,60.056,-151.362,
0.15153,0.36541,61,3.9836,121,32,F,writer,22206,38.84,-77.089,
0.14251,0.32532,54,3.8519,122,48,F,artist,20008,38.935,-77.06,
0.094249,0.48093,24,3.5,123,34,M,student,60615,41.812,-87.687,
0.39894,0.48025,182,3.4396,124,30,M,lawyer,22202,38.854,-77.06,
0.0048054,0.49018,45,3.5333,125,28,F,lawyer,20015,38.969,-77.071,
0.041625,0.51944,23,4.1304,126,33,M,none,73439,33.975,-96.698,
0.45047,0.48615,184,3.663,127,24,F,marketing,20009,38.919,-77.04,
0.0042226,0.45902,30,2.6,128,36,F,marketing,7039,40.787,-74.326,
0.64256,1,353,3.9858,129,20,M,none,60115,41.817,-88.791,
0.03794,0.44183,30,4.1333,130,59,F,administrator,15237,40.434,-80.025,
0.055648,0.42724,22,3.7727,131,24,M,other,94612,37.809,-122.27,
0.0075686,0.47621,26,3.1923,132,53,M,engineer,78602,30.141,-97.314,
0.014414,0.50103,25,3.64,133,31,M,programmer,80236,39.65,-105.035,
0.12341,0.49476,55,3.3818,134,23,M,student,38401,35.624,-87.004,
0.08151,0.44381,35,4.3429,135,51,M,other,97365,44.552,-124.024,
0.13475,0.61221,47,4.3191,136,50,M,educator,84408,41.196,-111.948,
0.16603,0.37262,51,4.2745,137,46,M,doctor,53211,43.082,-87.89,
0.027966,0.46712,24,4,138,20,M,student,8904,40.5,-74.428,
0.0054593,0.46573,21,3.4286,139,30,F,student,32250,30.28,-81.417,
0.1101,0.71312,107,3.4299,140,49,M,programmer,36117,32.37,-86.116,
0.06944,0.46984,33,3.6364,141,13,M,other,48118,42.314,-84.014,
0.0059188,0.49281,20,3.9,142,42,M,technician,8832,40.518,-74.307,
0.43088,0.47635,206,3.6748,143,53,M,programmer,20910,39.003,-77.03,
0.46318,0.78648,316,3.3354,144,31,M,entertainment,V3N4P,300,300,
0.0060099,0.46763,29,3.6207,145,45,M,artist,83814,47.728,-116.781,
0.0046409,0.45212,20,4.2,146,40,F,librarian,2143,42.381,-71.099,
0.22417,0.42681,65,4,147,33,M,engineer,97006,45.52,-122.86,
0.0049591,0.46058,36,2.8889,148,35,F,marketing,17325,39.841,-77.227,
0.062148,0.50635,32,3.8438,149,20,F,artist,2139,42.365,-71.102,
0.7368,0.18465,307,3.9967,150,38,F,administrator,48103,42.267,-83.849,
0.25702,0.5939,106,4.3208,151,33,F,educator,68767,42.224,-97.582,
0.065278,0.46883,23,2.9565,152,25,M,student,60641,41.812,-87.687,
0.1528,0.35682,51,3.9608,153,25,M,student,53703,43.053,-89.353,
0.003877,0.4708,22,2.6364,154,32,F,other,11217,40.685,-73.981,
0.10775,0.38898,37,3.7297,155,25,M,educator,8360,39.393,-75.026,
0.071774,0.53876,51,3.7843,156,57,M,engineer,70808,30.408,-91.144,
0.42485,0.56398,173,3.8035,157,50,M,educator,27606,35.716,-78.748,
0.10427,0.67861,107,3.4299,158,23,F,student,55346,44.875,-93.478,
0.2694,0.46612,120,3.9167,159,27,M,programmer,66215,38.949,-94.741,
0.11731,0.43052,58,2.5517,160,50,M,lawyer,55104,44.956,-93.167,
0.10412,0.56295,42,3.5952,161,25,M,artist,15610,40.12,-79.405,
0.054121,0.45843,23,3.3043,162,49,M,administrator,97212,45.544,-122.643,
0.07456,0.649,63,4.127,163,47,M,healthcare,80123,39.621,-105.09,
0.082831,0.48398,30,4,164,20,F,other,53715,43.062,-89.395,
0.0064421,0.49315,20,3.55,165,47,M,educator,55113,45.014,-93.157,
0.1273,0.41151,69,3.3768,166,37,M,other,L9G2B,300,300,
0.089087,0.64668,69,3.3333,167,48,M,other,80127,39.544,-105.153,
0.098817,0.40815,37,3.973,168,52,F,other,53705,43.073,-89.457,
0.0037516,0.4956,22,3.7727,169,53,F,healthcare,30067,33.933,-84.462,
0.0057346,0.46032,28,3.4643,170,48,F,educator,78750,30.407,-97.816,
0.05438,0.40387,27,3.1852,171,55,M,marketing,22207,38.907,-77.122,
9.44E-05,0.48197,43,4.2093,172,56,M,other,22306,38.759,-77.087,
0.30224,0.59129,177,3.5819,173,30,F,administrator,52302,42.057,-91.574,
0.14696,0.45374,38,3.7368,174,26,F,scientist,21911,39.672,-76.057,
0.067556,0.53109,63,3.6984,175,28,M,scientist,7030,40.747,-74.034,
0.29834,0.48858,115,3.6174,176,20,M,programmer,19104,39.961,-75.197,
0.60383,0.74626,273,3.6813,177,26,M,other,49512,42.88,-85.535,
0.0070741,0.48324,42,3.0476,178,15,M,entertainment,20755,39.154,-76.691,
0.18717,0.4957,63,3.9365,179,22,F,administrator,60202,42.045,-87.688,
0.10428,0.65397,435,1.492,180,26,M,executive,21218,39.328,-76.599,
0.086851,0.50151,28,3.8571,181,36,M,programmer,33884,28.053,-81.669,
0.11877,0.52871,53,3.1887,182,33,M,scientist,27708,36.029,-78.924,
0.51477,0.30916,251,3.6614,183,37,M,librarian,76013,32.771,-97.291,
0.11355,0.40838,48,4.0417,184,53,F,librarian,97403,44.032,-123.096,
0.13135,0.61728,92,3.413,185,39,F,executive,0,300,300,
0.19078,0.3662,56,4.0714,186,26,M,educator,16801,40.882,-77.868,
0.33707,0.51648,112,3.7679,187,42,M,student,29440,33.439,-79.368,
0.45713,0.23197,187,3.9786,188,32,M,artist,95014,37.189,-121.705,
0.060154,0.60086,59,3.322,189,30,M,administrator,95938,39.626,-121.778,
0.0092258,0.46321,27,3.6296,190,33,M,administrator,95161,37.189,-121.705,
0.046979,0.48975,35,3.5143,191,42,M,educator,90840,33.784,-118.116,
0.1825,0.57519,121,3.1653,192,29,M,student,49931,47.105,-88.548,
0.63125,0.37361,305,2.9639,193,38,M,administrator,2154,42.389,-71.24,
0.13589,0.47582,96,3.2917,194,42,M,scientist,93555,35.54,-117.794,
0.07544,0.4506,39,3.6154,195,49,M,writer,55105,44.935,-93.161,
0.22685,0.57487,118,3.339,196,55,M,technician,75094,33.012,-96.643,
0.46426,0.48517,181,3.2762,197,21,F,student,55414,44.975,-93.234,
0.036785,0.46958,40,2.95,198,30,M,writer,17604,40.065,-76.336,
0.54419,0.73543,216,4.0324,199,40,M,programmer,93402,35.301,-120.795,
0.59273,0.44572,386,3.0311,200,27,M,writer,E2A4H,300,300,
0.048847,0.44811,20,2.8,201,41,F,educator,60201,42.049,-87.702,
0.060496,0.55891,43,3.4186,202,25,F,student,32301,30.419,-84.203,
0.044025,0.43974,42,3.4524,203,52,F,librarian,10960,41.08,-73.93,
0.00569,0.47847,22,2.8636,204,47,M,lawyer,6371,41.409,-72.148,
0.006025,0.48329,64,2.1719,205,14,F,student,53115,42.642,-88.653,
0.44906,0.50752,230,3.2304,206,39,M,marketing,92037,32.899,-117.226,
0.1035,0.41189,33,3.7879,207,43,M,engineer,1720,42.446,-71.459,
0.036222,0.4631,33,3.1818,208,33,F,educator,85710,32.214,-110.789,
0.42813,0.44673,132,4.0606,209,39,M,engineer,3060,42.772,-71.626,
0.071919,0.44849,37,3.1892,210,66,M,salesman,32605,29.678,-82.466,
0.072275,0.39955,25,3.92,211,49,F,educator,61401,40.965,-90.214,
0.41248,0.49416,126,4.2302,212,33,M,executive,55345,44.917,-93.482,
0.33129,0.36311,128,3.8984,213,26,F,librarian,11231,40.677,-74.003,
0.3241,0.44919,93,3.7742,214,35,M,programmer,63033,38.796,-90.275,
0.36312,0.57089,131,3.8015,215,22,M,engineer,2215,42.345,-71.108,
0.16115,0.60504,76,2.9605,216,22,M,other,11727,40.922,-72.637,
0.15123,0.41483,53,3.6038,217,37,M,administrator,6513,41.307,-72.865,
0.054096,0.44626,28,3.7143,218,32,M,programmer,43212,39.969,-83.011,
0.0056339,0.47305,22,3.7727,219,30,M,librarian,78205,29.424,-98.484,
0.29824,0.64445,146,3.6164,220,19,M,student,20685,38.44,-76.517,
0.67822,0.86864,387,3.0491,221,29,M,programmer,27502,35.748,-78.834,
0.13118,0.64262,105,3.0286,222,19,F,student,47906,40.467,-86.928,
0.17736,0.54874,141,2.9929,223,31,F,educator,43512,41.297,-84.39,
0.097308,0.39833,27,4.5185,224,51,F,administrator,58202,47.933,-97.394,
0.1339,0.44134,50,3.8,225,28,M,student,92103,32.746,-117.171,
0.069776,0.49945,58,3.4483,226,46,M,executive,60659,41.997,-87.717,
0.034833,0.45415,21,3.1429,227,21,F,student,22003,38.836,-77.213,
0.0056552,0.46334,30,2.7333,228,29,F,librarian,22903,38.034,-78.492,
0.4167,0.50785,133,3.8496,229,28,F,student,14476,43.324,-78.05,
0.038176,0.51868,21,3.6667,230,48,M,librarian,1080,42.18,-72.518,
0.25793,0.3601,93,3.9032,231,45,M,scientist,99709,64.86,-148,
0.36472,0.31241,110,4.3455,232,38,M,engineer,98682,45.679,-122.479,
0.73738,0.15309,480,3.1229,233,60,M,retired,94702,37.864,-122.287,
0.24885,0.31992,94,3.9787,234,37,M,educator,22973,38.312,-78.482,
0.30354,0.43557,124,3.4758,235,44,F,writer,53214,43.022,-88.018,
0.17386,0.31048,48,4.1458,236,49,M,administrator,63146,38.703,-90.462,
0.037245,0.53301,29,3.2759,237,42,F,administrator,44124,41.501,-81.469,
0.39493,0.14866,159,4.2138,238,39,M,artist,95628,38.655,-121.261,
0.0043486,0.47309,24,3.75,239,23,F,educator,20784,38.951,-76.896,
0.0042137,0.47591,23,3.4348,240,26,F,student,20001,38.912,-77.017,
0.021944,0.4775,20,4.45,241,33,M,educator,31404,32.048,-81.117,
0.1707,0.40622,81,3.642,242,33,M,educator,60201,42.049,-87.702,
0.48314,0.59864,238,3.6513,243,28,M,technician,80525,40.532,-105.207,
0.038301,0.50693,22,3.2727,244,22,M,student,55109,45.013,-93.03,
0.35122,0.63538,195,2.9282,245,19,M,student,28734,35.156,-83.422,
0.065229,0.49831,26,3.9231,246,28,M,engineer,20770,38.996,-76.881,
0.17536,0.49914,56,3.5714,247,25,M,student,37235,36.187,-86.785,
0.44889,0.5865,161,4.1056,248,25,M,student,84103,40.786,-111.869,
0.27744,0.52595,122,3.7869,249,29,M,executive,95110,37.189,-121.705,
0.18652,0.6213,77,3.7922,250,28,M,doctor,85032,33.277,-112.187,
0.039876,0.46844,21,4.4286,251,42,M,engineer,7733,40.376,-74.17,
0.29689,0.50011,97,3.9794,252,26,F,librarian,22903,38.034,-78.492,
0.31425,0.53832,159,3.0503,253,44,M,educator,42647,36.777,-84.503,
0.083501,0.5611,83,2.5422,254,23,M,entertainment,7029,40.745,-74.151,
0.4169,0.82543,207,3.9903,255,35,F,none,39042,32.3,-89.939,
0.076125,0.43585,57,4.0351,256,17,M,student,77005,29.834,-95.434,
0.0032964,0.48947,23,3.7391,257,19,F,student,77801,30.667,-96.362,
0.1216,0.50366,46,3.8696,258,21,M,student,48823,42.737,-84.504,
0.0045267,0.48493,24,4.0417,259,40,F,artist,89801,40.906,-115.534,
0.013779,0.51411,27,4.1111,260,28,M,administrator,85202,33.393,-111.805,
0.32183,0.53789,160,3.1688,261,19,F,student,78264,29.195,-98.5,
0.38058,0.37436,123,4.0488,262,41,M,programmer,55346,44.875,-93.478,
0.31454,0.37473,120,4.2167,263,36,F,writer,90064,33.787,-118.299,
0.064837,0.60671,46,3.5652,264,26,M,executive,84601,40.235,-111.696,
0.027831,0.45166,23,3.2609,265,62,F,administrator,78756,30.321,-97.738,
0.51064,0.60314,185,3.9351,266,23,M,engineer,83716,43.441,-116.079,
0.56212,0.6057,328,2.9421,267,24,M,engineer,19422,40.158,-75.28,
0.54073,0.1943,323,3.0093,268,31,F,librarian,43201,39.969,-83.011,
0.27323,0.57198,138,4.3333,269,18,F,student,63119,38.589,-90.348,
0.63748,0.28407,278,3.5827,270,51,M,engineer,22932,38.13,-78.711,
0.21946,0.37841,51,4.3333,271,33,M,scientist,53706,43.078,-89.413,
0.0071649,0.45267,22,3.6364,272,50,F,other,10016,40.746,-73.978,
0.15305,0.59442,71,4.0563,273,20,F,student,55414,44.975,-93.234,
0.22908,0.54494,95,3.1158,274,38,M,engineer,92064,32.994,-117.03,
0.87798,0.84234,518,3.4653,275,21,M,student,95064,36.989,-122.059,
0.081441,0.55691,54,3.5,276,35,F,administrator,55406,44.976,-93.279,
0.036449,0.45173,23,4.2609,277,37,F,librarian,30033,33.816,-84.286,
0.56686,0.63921,434,3.2673,278,33,M,programmer,85251,33.42,-111.793,
0.50507,0.71388,258,3.5775,279,30,F,librarian,22903,38.034,-78.492,
0.0031667,0.49331,26,3.1923,280,15,F,student,6059,41.9,-72.891,
0.0072391,0.47854,22,3.5,281,22,M,administrator,20057,38.893,-77.015,
0.17268,0.48735,53,4.1321,282,28,M,programmer,55305,44.953,-93.437,
0.004319,0.46792,47,3.5532,283,40,M,executive,92629,33.486,-117.696,
0.070154,0.45678,32,3.9375,284,25,M,programmer,53713,43.037,-89.397,
0.51314,0.62803,288,3.7118,285,27,M,student,15217,40.385,-80.055,
0.14336,0.58907,62,4.1129,286,21,M,salesman,31211,32.867,-83.607,
0.20861,0.40107,75,3.88,287,34,M,marketing,23226,37.587,-77.518,
0.045049,0.53941,27,2.9259,288,11,M,none,94619,37.784,-122.167,
0.3908,0.57995,150,3.3533,289,40,M,engineer,93550,33.787,-118.299,
0.5582,0.82983,296,3.6858,290,19,M,student,44106,41.505,-81.603,
0.36149,0.39476,124,4.2258,291,35,F,programmer,94703,37.866,-122.276,
0.70829,0.44277,388,3.0309,292,24,M,writer,60804,41.812,-87.687,
0.1474,0.7087,150,3.4667,293,34,M,technician,92110,32.776,-117.208,
0.56278,0.50679,196,4.2398,294,31,M,educator,50325,41.608,-93.745,
0.34634,0.37417,147,4.1769,295,43,F,administrator,16803,40.879,-77.758,
0.43157,0.50023,192,3.4375,296,29,F,educator,98103,47.432,-121.803,
0.41102,0.3897,127,4.0315,297,44,M,executive,1581,42.255,-71.846,
0.50744,0.28437,280,3.4643,298,29,M,doctor,63108,38.645,-90.252,
0.012642,0.49134,20,3.75,299,26,F,programmer,55106,44.957,-93.042,
0.64167,0.71858,275,3.5273,300,24,M,student,55439,44.874,-93.375,
0.0059869,0.47758,21,2.4286,301,42,M,educator,77904,28.9,-97.001,
0.84688,0.6885,484,3.3657,302,19,M,student,14853,42.447,-76.484,
0.018225,0.51341,26,3.3846,303,22,F,student,71701,33.595,-92.851,
0.45477,0.32374,222,3.4099,304,23,M,programmer,94086,37.189,-121.705,
0.031481,0.45088,32,3.7812,305,45,M,other,73132,35.558,-97.638,
0.33661,0.46607,112,3.7946,306,25,M,student,55454,44.981,-93.253,
0.86548,0.31331,397,3.7582,307,60,M,retired,95076,36.98,-121.747,
0.0033678,0.46457,20,3.5,308,40,M,scientist,70802,30.443,-91.156,
0.033931,0.47928,21,3.8571,309,37,M,educator,91711,33.787,-118.299,
0.72862,0.46184,294,3.7959,310,32,M,technician,73071,35.254,-97.3,
0.55353,0,223,4.3812,311,48,M,other,2110,42.353,-71.051,
0.65546,0.35082,262,3.5954,312,41,M,marketing,60035,42.187,-87.812,
0.3749,0.83003,245,3.6776,313,20,F,student,8043,39.839,-74.965,
0.24519,0.37176,87,4.0115,314,31,M,educator,18301,41.09,-75.2,
0.17638,0.3464,75,3.36,315,43,F,other,77009,29.834,-95.434,
0.0059769,0.49587,22,3.5455,316,22,M,administrator,13210,43.031,-76.111,
0.38008,0.42228,174,3.7069,317,65,M,retired,6518,41.417,-72.906,
0.0051212,0.4701,23,3.4783,318,38,M,programmer,22030,38.853,-77.305,
0.3334,0.75847,154,3.7208,319,19,M,student,24060,37.256,-80.435,
0.30748,0.15253,125,3.736,320,49,F,educator,55413,44.994,-93.241,
0.15413,0.36864,51,4.1765,321,20,M,student,50613,42.517,-92.436,
0.18337,0.54749,89,3.618,322,21,M,student,19149,40.024,-75.082,
0.062896,0.58464,66,4.3485,323,21,F,student,2176,42.459,-71.053,
0.31131,0.24921,142,3.4085,324,48,M,technician,2139,42.365,-71.102,
0.47305,0.33802,187,3.3262,325,41,M,administrator,15235,40.399,-80.001,
0.55624,0.44156,284,3.3134,326,22,M,student,11101,40.745,-73.935,
0.5432,0.55668,283,3.4311,327,51,M,administrator,6779,41.604,-73.217,
0.12327,0.46656,65,3.4,328,48,M,educator,1720,42.446,-71.459,
0.48732,0.59073,147,4.4966,329,35,F,educator,33884,28.053,-81.669,
0.12695,0.38164,70,3.6429,330,33,M,entertainment,91344,33.787,-118.299,
0.39335,0.89674,183,4.153,331,20,M,student,40504,38.039,-84.539,
0.075031,0.45617,26,3.8462,332,47,M,other,V0R2M,300,300,
0.58427,0.35568,333,3.5195,333,32,M,librarian,30002,33.772,-84.239,
0.0049481,0.48832,22,3.5455,334,45,M,executive,33775,27.892,-82.725,
0.20703,0.61657,130,2.9615,335,23,M,salesman,42101,37.017,-86.452,
0.090799,0.53078,34,3.9412,336,37,M,scientist,10522,41.011,-73.865,
0.20419,0.23615,75,4,337,39,F,librarian,59717,45.628,-110.901,
0.67353,0.26645,254,4.0039,338,35,M,lawyer,37901,36.032,-83.885,
0.15975,0.46947,44,4.1591,339,46,M,engineer,80123,39.621,-105.09,
0.0050522,0.47476,21,3.8095,340,17,F,student,44405,41.078,-80.592,
0.36681,0.36699,201,3.4378,341,25,F,other,98006,47.552,-122.145,
0.60743,0.35875,237,3.9873,342,43,M,engineer,30093,33.932,-84.182,
0.40538,0.50762,190,3.6684,343,30,F,librarian,94117,37.769,-122.444,
0.45131,0.59231,232,3.6466,344,28,F,librarian,94143,37.763,-122.459,
0.42859,0.6477,193,3.2902,345,34,M,other,76059,32.335,-97.306,
0.46774,0.7704,199,3.5729,346,18,M,student,90210,33.787,-118.299,
0.075611,0.62447,58,3.8966,347,24,F,student,45660,38.859,-83.461,
0.047125,0.50631,41,3.1951,348,68,M,retired,61455,40.46,-90.661,
0.19572,0.36233,50,4.32,349,32,M,student,97301,44.905,-122.922,
0.00028741,0.50387,44,4.1591,350,61,M,educator,49938,46.48,-90.167,
0.16839,0.48817,42,3.7381,351,37,F,programmer,55105,44.935,-93.161,
0.0056679,0.47866,25,3.36,352,25,M,scientist,28480,34.214,-77.859,
0.4201,0.14538,233,3.7425,353,29,F,librarian,48197,42.202,-83.62,
0.0043174,0.47256,26,4.0769,354,25,M,student,60135,42.102,-88.718,
0.0057912,0.49125,24,3.5833,355,32,F,homemaker,92688,33.602,-117.604,
0.10291,0.67375,76,4.1316,356,26,M,executive,98133,47.432,-121.803,
